_id,AnoReferencia,NomeMunicipio,NomeUnidadeEscolar,MatriculasTotal,MatriculaInicial,MatriculaAposCenso,Transferidos,Cancelados,Falecido,Abandono,Aprovados,Reprovados,Cursando,OutrasSituacoes
308,2026,Campo Grande,EE PÓLO FRANCISCO CÂNDIDO DE REZENDE - EXTENSÃO ISAURO BENTO,80,80,0,0,4,0,0,0,0,75,1
309,2026,Campo Grande,EE PÓLO FRANCISCO CÂNDIDO DE REZENDE - EXTENSÃO SANTA LUZIA,45,45,0,2,1,0,0,0,0,41,1
310,2026,Campo Grande,EE PÓLO PROFª REGINA LÚCIA ANFFE NUNES BETINE -CENTRO PENAL AGROINDUSTRIAL DA GAMELEIRA DE REGIME SEMIABERTO,27,27,0,0,2,0,0,0,0,25,0
311,2026,Campo Grande,EE POLO PROFª. REGINA LÚCIA ANFFE NUNES BETINE - CENTRO DE TRIAGEM ANISIO LIMA - CT,34,34,0,2,11,0,0,0,0,21,0
312,2026,Campo Grande,EE POLO PROFª. REGINA LÚCIA ANFFE NUNES BETINE - EST. PENAL SEGURANÇA MÁXIMA JAIR FERREIRA DE CARVALHO,193,193,0,0,45,0,0,0,0,148,0
313,2026,Campo Grande,EE POLO PROFª. REGINA LÚCIA ANFFE NUNES BETINE - INSTITUTO PENAL DE CAMPO GRANDE,235,235,0,39,31,0,0,0,0,163,2
314,2026,Campo Grande,EE POLO PROFª. REGINA LÚCIA ANFFE NUNES BETINE - PENITENCIÁRIA ESTADUAL MASCULINA DE REGIME FECHADO DA GAMELEIRA I,165,165,0,16,1,0,0,0,0,148,0
315,2026,Campo Grande,EE POLO PROFª. REGINA LÚCIA ANFFE NUNES BETINE - PENITENCIÁRIA ESTADUAL MASCULINA DE REGIME FECHADO DA GAMELEIRA II,100,100,0,9,3,0,0,0,0,88,0
316,2026,Campo Grande,EE POLO PROFª. REGINA LÚCIA ANFFE NUNES BETINE - PENITENCIARIA FEDERAL DE CAMPO GRANDE-PFCG,25,25,0,3,10,0,0,0,0,12,0
317,2026,Campo Grande,EE POLO PROFª. REGINA LÚCIA ANFFE NUNES BETINE - SALA UNEI FEMININO ESTRELA DO AMANHA,10,10,0,0,0,0,0,0,0,10,0
318,2026,Campo Grande,EE POLO PROFª. REGINA LUCIA ANFFE NUNES BETINE - SALA UNEI MASCULINO DOM BOSCO,65,65,0,5,2,0,0,0,0,58,0
319,2026,Campo Grande,EE POLO PROFª. REGINA LÚCIA ANFFE NUNES BETINE -ESTABELECIMENTO P. FEMININO IRMÃ IRMA ZORZI - EPFIIZ,85,85,0,14,10,0,0,0,0,61,0
320,2026,Deodapolis,EE PORTO VILMA,221,221,0,6,0,0,0,0,0,215,0
321,2026,Dourados,EE PRES. GETÚLIO VARGAS,339,339,0,6,4,0,0,0,0,329,0
322,2026,Dourados,EE PRES. GETÚLIO VARGAS - EXTENSÃO SALA CORONEL FIRMINIO VIEIRA,56,56,0,4,3,0,0,0,0,49,0
323,2026,Dourados,EE PRES. GETÚLIO VARGAS - EXTENSÃO SALA PADRE ANCHIETA,17,17,0,1,0,0,0,0,0,16,0
324,2026,Dourados,EE PRES. GETÚLIO VARGAS - EXTENSÃO SALA PAI CHIQUITO-CHIQUITO PEDRO,13,13,0,0,0,0,0,0,0,13,0
325,2026,Navirai,EE PRES. MÉDICI,304,304,0,18,5,0,0,0,0,276,5
326,2026,Dourados,EE PRES. TANCREDO NEVES,1332,1332,0,34,24,0,0,0,0,1260,14
327,2026,Dourados,EE PRES. VARGAS,2391,2391,0,47,23,0,0,0,0,2260,61
328,2026,Itapora,EE PRINCESA IZABEL,117,117,0,6,0,0,0,0,0,111,0
329,2026,Ponta Pora,EE PROF. ADIR TEIXEIRA DE OLIVEIRA,956,956,0,14,17,0,0,0,0,925,0
330,2026,Dourados,EE PROF. ALÍCIO ARAÚJO,312,312,0,15,5,0,0,0,0,282,10
331,2026,Jardim,EE PROF. ANTÔNIO PINTO PEREIRA,389,389,0,23,6,0,0,0,0,360,0
332,2026,Jardim,EE PROF. ANTÔNIO PINTO PEREIRA - EXTENSÃO ESTABELECIMENTO PENAL MASCULINO MÁXIMO ROMERO,29,29,0,0,0,0,0,0,0,27,2
333,2026,Aquidauana,EE PROF. ANTÔNIO SALÚSTIO AREIAS,186,186,0,30,13,0,0,0,0,137,6
334,2026,Bataguassu,EE PROF. BRAZ SINIGÁGLIA,245,245,0,11,2,0,0,0,0,228,4
335,2026,Bataguassu,EE PROF. BRAZ SINIGÁGLIA - EXTENSÃO ESTABELECIMENTO PENAL DE BATAGUASSU,71,71,0,1,8,0,0,0,0,62,0
336,2026,Ponta Pora,EE PROF. CARLOS PEREIRA DA SILVA,323,323,0,24,11,0,0,0,0,288,0
337,2026,Dourados,EE PROF. CELSO MULLER DO AMARAL,631,631,0,28,16,0,0,0,0,587,0
338,2026,Tacuru,EE PROF. CLETO DE MORAES COSTA,499,499,0,14,9,0,0,0,0,473,3
339,2026,Campo Grande,EE PROF. EMYGDIO CAMPOS WIDAL,415,415,0,6,7,0,0,0,0,398,4
340,2026,Anaurilandia,EE PROF. EZEQUIEL BALBINO,110,110,0,10,0,0,0,0,0,100,0
341,2026,Campo Grande,EE PROF. HENRIQUE CIRYLLO CORRÊA,348,348,0,7,3,0,0,0,0,337,1
342,2026,Tres Lagoas,EE PROF. JOÃO MAGIANO PINTO,1643,1643,0,20,24,0,0,0,0,1588,11
343,2026,Inocencia,EE PROF. JOÃO PEREIRA VALIM,746,746,0,21,5,0,0,0,0,720,0
344,2026,Inocencia,EE PROF. JOÃO PEREIRA VALIM - EXTENSÃO SALA CIRILO ANOENA DA COSTA,18,18,0,0,0,0,0,0,0,18,0
